"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 12 13:05:36 EEST 2020","Wed Aug 12 13:05:36 EEST 2020","7","TestSuit","DataBaseTests","SomeTest","SomeTest","doSomething","doSomething",""
"passed","Wed Aug 12 13:05:36 EEST 2020","Wed Aug 12 13:05:36 EEST 2020","24","TestSuit","DataBaseTests","RETests.Test1","RETests.Test1","someTest","someTest",""
